"","Temperature Change","Total Grains, Cereals and Root Production Quantity in 1000MT","Total Grains, Cereals and Root Food Supply in 1000MT","Total Grains, Cereals and Root Area Harvested in 1000Ha","Population in Millions","GDP in US dollars per person"
"67",0.659,4282.101621,5058.10274,2568.923,17.525,2384.564444
"68",0.336,4282.975288,5098.808368,1870.678,18.038,2636.854825
"69",0.554,5498.74642,6220.424969,2775.041,18.555,2625.236036
"70",1.058,5942.70006,6806.078608,2854.343,19.082,2639.721236
"71",0.708,6330.594027,7201.072576,3281.114,19.618,2668.212265
"72",0.401,4129.353351,4975.2319,2086.835,20.163,2773.420492
"73",-1.278,374.5216105,796.3356137,191.736,3.45,605.2598953
"74",-0.857,409.1011765,850.7647059,212.23,3.37,565.100819
"75",0.574,346.061207,808.5928641,189.877,3.291,609.9139654
"76",0.77,398.1107324,716.0231621,166.112,3.223,665.7541053
"77",0.558,426.0002318,766.6673346,199.278,3.172,716.135208
"78",0.738,349.2100927,833.9453395,219,3.135,748.651321
"79",1.432,439.265989,728.792413,215.236,3.109,810.0207428
"80",1.571,406.3071646,892.0359715,196.797,3.091,841.6241305
"81",1.109,298.4729698,763.3762476,190.787,3.076,895.6262479
"82",1.485,460.1191315,777.8523807,223.083,3.066,984.4183573
"83",1.218,515.3698594,873.6055196,215.343,3.061,1116.046757
"84",0.201,442.5465715,808.8257191,227.102,3.061,1272.748595
"85",1.21,611.7864201,1041.223799,233.673,3.063,1405.059866
"86",0.529,547.7514763,896.0094209,236.41,3.066,1598.315968
"87",1.7,357.5425154,764.0166178,190.566,3.07,1806.904422
"88",0.735,593.7247763,984.780092,204.241,3.074,2052.664878
"89",0.88,550.4376362,965.2554016,204.303,3.079,2190.735424
"90",0.711,511.9112971,924.7772061,196.012,3.085,1877.088756
"91",2.703,453.7860388,767.6519478,183.992,3.092,1914.041665
"92",0.676,565.4558647,1011.321774,187.503,3.1,1998.830006
"93",1.31,604.9134487,841.2793577,201.515,3.109,2136.380781
"94",-0.773,1326.285856,2221.042763,646,7.446,1233.218071
"95",-0.925,1171.836147,1927.828943,721.12,7.562,933.797224
"96",0.194,1059.011633,1703.924209,645,7.67,739.2808097
"97",1.104,1043.079307,1704.036606,619.393,7.765,644.0682963
"98",0.33,1134.914126,1828.371042,654.791,7.845,645.7878642
"99",0.679,1235.502735,1835.30627,681.642,7.914,677.2865467
"100",1.266,986.4883594,1682.894281,621.869,7.976,739.2239599
"101",1.292,1181.685084,2040.113681,550.392,8.039,787.7046929
"102",1.147,1598.358703,2408.811231,693.213,8.111,867.3714422
"103",1.461,2092.852911,2848.839209,807.618,8.191,943.9310822
"104",1.488,2290.243688,3010.254732,870.556,8.28,1032.766169
"105",-0.055,2167.60637,3192.231767,824.737,8.377,1135.137867
"106",1.379,2302.205371,3472.646208,871.829,8.48,1235.727949
"107",0.88,2307.795318,3395.800128,863.625,8.588,1542.317406
"108",1.556,2536.639019,3932.227395,840.742,8.702,2047.241143
"109",1.029,2608.030626,3990.217199,795.79,8.821,2525.518074
"110",0.976,2516.134015,4190.787258,951.5472,8.944,2759.104559
"111",0.846,2677.583751,3769.574028,1179.365,9.067,2977.802881
"112",2.36,2092.412859,3469.603136,1020.348,9.188,3081.236146
"113",0.831,2663.714047,4258.404324,1019.4115,9.306,3044.171576
"114",1.534,3009.760857,4401.951134,1083.7233,9.421,3073.166333
"115",0.107,15158.1983,17355.50241,10986.817,80.624,249.1723194
"116",-0.173,15170.99689,16134.69895,11313.732,82.884,251.5933437
"117",-0.038,15637.90268,17489.60252,11355.472,85.156,250.7002304
"118",-0.108,16157.01356,17993.00192,10599.708,87.46,253.8990229
"119",-0.256,16367.23847,18408.96076,11070.579,89.828,260.012792
"120",0.127,17042.9465,19629.9013,11405.945,92.284,261.250838
"121",0.099,16947.75572,18454.30351,11468.57,94.825,265.0521672
"122",0.391,16963.96108,18738.6473,11194.801,97.429,267.5961257
"123",0.383,17081.74772,20096.53751,11110.291,100.062,266.1805882
"124",0.091,19327.84584,21547.26358,11316.84,102.682,266.1649606
"125",-0.153,19162.25409,20776.35595,11309.231,105.256,275.0829458
"126",-0.043,19710.39013,21272.66979,11128.771,107.769,277.6402482
"127",-0.131,19883.41541,20990.25436,11037.306,110.226,285.1302917
"128",-0.429,19684.15871,20971.48222,10816.969,112.645,291.7700881
"129",0.157,18427.87651,21558.5728,10808.912,115.059,297.3164921
"130",0.13,19407.79224,21232.82563,10860.581,117.487,305.5124936
"131",0.074,20756.43763,21911.36225,11171.757,119.929,313.1247971
"132",-0.197,20786.18113,24134.27433,11239.354,122.37,323.4119252
"133",0.555,22190.64856,26433.19394,11198.629,124.803,333.6839722
"134",0.782,25688.18917,28050.38354,11967.089,127.215,343.2970959
"135",0.279,27649.23618,29497.5734,11956.34,129.592,357.0332826
"136",0.439,26784.5978,29193.19626,11773.854,131.945,369.160428
"137",0.471,27623.8606,31144.26837,11863.749,134.266,378.797086
"138",0.311,28585.77513,31556.05176,11782.998,136.515,392.1381944
"139",0.35,27524.24365,30772.0604,11284.84,138.633,410.3605778
"140",0.687,29085.94262,31646.1544,11537.739,140.588,428.7532433
"141",0.913,30110.54018,33295.89411,11585.326,142.354,451.5051473
"142",0.414,32114.19397,35496.89098,11530.694,143.957,475.1763873
"143",0.213,34274.07579,37550.12398,12364.433,145.478,499.3162531
"144",0.976,34901.68946,39006.0823,12336.585,147.03,522.4095797
"145",0.943,37439.53877,42758.13161,12559.866,148.692,547.9227746
"146",0.243,38645.58006,40551.8729,13065.554,150.494,577.6770921
"147",0.34,39360.84833,41358.64117,13044.807,152.409,605.9768681
"148",0.413,810.6097544,871.9714647,653.863,3.611,461.338468
"149",0.198,812.0541851,900.6813929,733.128,3.709,493.8582014
"150",0.217,811.7801838,915.5744339,722.673,3.811,491.3828988
"151",0.57,781.9800559,896.1816644,762.364,3.918,457.1823074
"152",0.565,1013.973572,1105.045266,791.239,4.028,479.9609635
"153",0.448,1055.353366,1150.163262,811.144,4.14,502.1413606
"154",0.362,1066.890521,1143.661196,784.6,4.255,499.1775184
"155",1.034,900.367945,973.4483663,727.6,4.371,478.6411058
"156",0.694,1201.909992,1338.732787,881.903,4.494,481.3935873
"157",0.014,1266.262138,1361.312041,880.415,4.627,454.2114469
"158",0.645,1238.610817,1436.669442,862.674,4.773,479.8412044
"159",0.38,1360.064639,1524.321747,904.694,4.934,483.7991072
"160",0.04,1374.442699,1507.134802,905.559,5.108,481.1408121
"161",0.585,1435.837535,1545.906678,933.249,5.291,491.608573
"162",0.488,1579.517206,1683.54573,940.135,5.473,484.8627106
"163",0.461,1560.029112,1667.744151,961.576,5.651,497.9777469
"164",0.784,1678.958929,1816.535193,1017.49,5.822,504.2529585
"165",0.615,2032.482668,2175.157439,1112.648,5.988,518.3896883
"166",1.105,2094.815219,2219.320838,1164.484,6.155,524.300881
"167",0.717,2281.289536,2383.749818,1197.589,6.329,537.1218732
"168",0.546,2400.977143,2540.627368,1289.969,6.518,546.9030405
"169",0.64,2448.894938,2644.778275,1288.974,6.721,563.5250684
"170",0.814,2383.999601,2656.465935,1434.526,6.938,570.0345298
"171",1.052,2735.905221,3014.09251,1323.908,7.165,573.4052859
"172",0.828,2830.03059,3137.796796,1378.811,7.398,572.6718853
"173",1.216,2749.61039,3068.784825,1427.695,7.634,570.8692681
"174",1.141,2617.245638,2935.435519,1210.476,7.872,574.3820484
"175",0.932,2787.441167,3073.862321,1391.687,8.113,583.1036168
"176",0.726,3099.329888,3396.597875,1556.229,8.356,594.5581031
"177",1.057,3539.462456,3856.419611,1497.478,8.602,592.9555213
"178",1.352,3270.999532,3722.156687,1616.513,8.85,591.0522608
"179",1.072,3421.446985,3809.704141,1444.987,9.1,595.1095289
"180",0.725,3235.173182,3673.430337,1399.14,9.352,610.3434689
"181",0.796,1076.645263,1154.307294,1853.11,7.212,232.8011246
"182",0.302,1300.329884,1348.923223,2216.621,7.388,236.9256396
"183",0.151,1242.63963,1356.538659,2143.57,7.572,253.2731046
"184",0.71,1154.860203,1236.937749,2189.451,7.764,247.8643983
"185",0.779,1128.863824,1277.658629,1863.045,7.963,237.3715444
"186",0.465,1603.838555,1844.11599,2246.798,8.17,251.0629077
"187",0.331,1924.413995,2047.463185,2720.224,8.384,264.1177338
"188",1.007,1671.960099,1794.703203,2568.778,8.607,256.6666347
"189",0.584,2131.76693,2264.412176,2908.207,8.838,264.4446585
"190",0.004,1964.890014,2091.910882,2913.846,9.077,263.0183011
"191",0.601,1521.170738,1731.758937,2539.09,9.324,254.5069393
"192",0.532,2462.058527,2645.233822,2812.5,9.58,270.1728071
"193",-0.024,2491.891126,2643.09752,2860.119,9.845,263.5123048
"194",0.697,2485.562609,2638.203162,2711.407,10.119,265.2511721
"195",0.285,2487.192197,2630.562633,2843.777,10.401,261.452977
"196",0.373,2305.914359,2482.374534,2726.396,10.692,268.8759734
"197",0.884,2460.550983,2656.982562,2716.231,10.992,290.3453582
"198",0.594,2001.562373,2213.794723,2867.964,11.302,300.2191164
"199",0.973,2647.051405,2855.297298,2999.32,11.621,313.3149443
"200",0.548,2687.656076,2952.56543,2968.227,11.952,327.193906
"201",0.533,2266.998094,2665.711686,2672.752,12.294,323.9671042
"202",0.5,3108.641121,3469.663087,3230.077,12.648,335.6370387
"203",0.992,3109.037453,3432.038842,3319.439,13.015,342.9502887
"204",0.961,3554.416444,3875.304806,3584.378,13.396,359.1939509
"205",0.84,2921.109965,3239.010717,3104.89,13.79,364.5579863
"206",1.415,3647.036053,3986.452016,3250.51,14.198,384.7520112
"207",1.137,3675.919479,4031.214673,3068.462,14.622,398.8794142
"208",0.836,3092.418409,3395.51922,3333.65,15.061,401.2179616
"209",0.288,4330.280993,4650.294657,4207.615,15.515,412.0672357
"210",0.932,3606.983306,3983.899102,3638.601,15.984,411.8374815
"211",1.249,4530.357602,4889.473398,4319.54621,16.469,431.4448728
"212",0.981,3672.561631,4059.377426,3709.632,16.968,436.3868008
"213",0.461,4870.726177,5327.151972,3988.628,17.482,463.9526985
"214",0.282,1475.889733,1539.089733,1885.546,10.539,231.1923191
"215",0.331,1557.815549,1656.415549,1553.1,10.862,244.7291075
"216",0.568,2234.964891,2282.464891,1992.481,11.169,253.3365451
"217",0.242,2203.45458,2259.462618,1950.588,11.459,260.2896304
"218",0.326,2263.603534,2319.604678,1983.367,11.731,268.5430165
"219",1.278,2329.305862,2392.429742,2021.339,11.986,275.9950434
"220",0.36,2765.910478,2860.533375,2164.306,12.224,302.8518082
"221",0.18,2793.567004,2876.916585,1985.378,12.447,323.500619
"222",0.595,2864.830086,3008.283824,2069.963,12.654,343.7882667
"223",0.629,2646.014877,2737.357857,2095.437,12.845,361.3265387
"224",0.649,3442.089498,3547.238697,2362.249,13.024,386.6721832
"225",0.491,3048.062115,3128.03115,2218.408,13.194,421.1588188
"226",0.664,4253.317394,4294.280754,2525.734,13.358,471.1069144
"227",0.637,5031.666666,5076.457508,2729.825,13.516,515.7499001
"228",0.517,5490.605449,5530.860503,2828.216,13.67,562.017654
"229",0.378,6289.78405,6330.020083,2967.258,13.823,592.9885405
"230",0.338,6823.923961,6879.184156,3068.352,13.978,586.9213795
"231",1.107,7315.09291,7357.353105,3323.495,14.138,614.8816831
"232",0.315,7634.687497,7676.347692,3465.199,14.305,650.6654243
"233",0.788,8234.451552,8271.111747,3652.564,14.478,689.5728715
"234",0.35,1412.611935,1552.961235,1396.03,9.11,954.9473448
"235",0.069,1391.133987,1498.328027,1360.542,9.379,1086.010264
"236",0.022,1554.298128,1757.901988,1523.73,9.652,1134.611208
"237",0.114,1457.893331,1659.939036,1304.754,9.93,1178.577277
"238",0.173,1297.956674,1427.053328,870.08,10.218,1230.969068
"239",0.047,1485.751449,1626.898074,972.803,10.519,1292.159882
"240",0.151,1804.860181,1995.832143,1076.541,10.833,1339.670433
"241",0.511,1401.006589,1802.013951,862.251,11.159,1272.615286
"242",0.291,1544.273423,1894.41816,1071.012,11.494,1138.861239
"243",-0.278,1517.723893,1887.564261,1046.843,11.835,1085.927073
"244",0.637,1731.198736,2154.885532,999.464,12.181,990.6613491
"245",0.612,1813.574944,2177.676824,1151.662,12.53,926.3888941
"246",-0.238,1706.016461,1990.114226,1261.267,12.883,873.0742243
"247",0.274,1853.319451,2291.698292,1402.382,13.237,822.5342179
"248",0.36,1839.757861,2159.079328,1377.211,13.59,781.1396766
"249",0.421,2196.74572,2439.134757,1398.377,13.94,786.6574969
"250",0.437,2271.046368,2625.116947,1355.089,14.287,805.9289051
"251",0.599,2170.566668,2516.556607,1305.151,14.632,827.0595724
"252",1.214,2476.97155,2814.45743,1422.816,14.976,848.7822286
"253",0.738,2296.949729,2655.739938,1010.17,15.324,865.9537899
"254",0.456,2407.226055,2913.443104,1115.872,15.678,881.9498773
"255",0.288,2496.675155,3103.10722,1285.833,16.04,900.960594
"256",0.784,2679.311649,3233.829217,1458.455,16.408,916.0635856
"257",0.934,2785.765862,3327.865672,1588.299,16.783,931.6964011
"258",0.889,2909.586763,3624.861306,1730.63,17.165,944.6843611
"259",1.05,3409.100461,4197.274572,1679.663,17.554,944.9653196
"260",1.071,3631.665606,4485.59649,1819.805,17.948,954.0009114
"261",0.776,4003.2068,4682.624788,1958.475,18.35,959.6018485
"262",0.728,4133.061683,5051.571523,1959.446,18.759,972.7275421
"263",1.15,4572.581649,5413.854849,2210.958,19.175,969.4050316
"264",1.26,4996.236641,5963.709841,2427.649,19.599,980.1433539
"265",0.693,5101.274939,6041.848139,2412.991,20.03,998.3942752
"266",0.539,5132.844796,6013.017996,2378.852,20.469,1021.717667
"267",0.357,709.2168453,724.8338453,1134.2,4.554,321.5444019
"268",0.116,548.2188451,578.3418451,645.2,4.656,317.7802392
"269",0.385,566.1210465,758.3110465,679.544,4.765,327.1127822
"270",0.032,637.4055978,788.5795978,964.835,4.883,369.2556607
"271",0.591,561.7732935,701.0176529,815.64,5.011,367.1958857
"272",0.24,937.776719,1038.920719,1249.049,5.151,435.0630297
"273",0.692,833.4668486,869.7948486,1190.501,5.304,405.2675532
"274",0.391,749.2090287,808.3330287,1099.099,5.47,383.5814862
"275",0.191,1018.419018,1080.249018,1219.419,5.646,429.1604945
"276",-0.252,791.025199,830.984199,1232.027,5.827,436.1419676
"277",0.466,818.1946769,879.4616769,1198.688,6.011,405.1252004
"278",0.562,998.0811191,1077.014119,1422.24,6.198,426.4368969
"279",-0.326,1123.799595,1217.333595,1435.311,6.388,446.8595032
"280",0.239,787.7923033,848.3923033,1327.972,6.583,365.5013153
"281",0.361,1327.437379,1392.438748,1677.61,6.786,390.5096259
"282",0.189,1085.975546,1173.912011,1666.185,6.998,383.3619402
"283",0.6,1058.368627,1155.244692,1577.545,7.219,379.8553825
"284",0.242,1163.666312,1254.835776,1808.736,7.449,388.9383775
"285",0.846,1483.806602,1572.810066,1996.121,7.69,402.9393088
"286",0.565,1429.69876,1507.402263,1955.076,7.947,387.2460633
"287",0.316,1095.003187,1206.106658,1847.451,8.222,371.0013099
"288",0.251,1453.046765,1549.95374,2173.256,8.518,399.8578698
"289",0.767,1413.486278,1515.960213,1902.886,8.831,418.4349492
"290",0.825,1829.630783,1944.171794,2152.66,9.154,463.0974365
"291",0.813,1440.269215,1601.47619,1912.393,9.475,597.8689419
"292",1.123,2054.360009,2199.566992,2535.706,9.786,679.201208
"293",1.367,2203.026287,2372.733238,2659.305,10.084,663.4025003
"294",0.596,2191.077459,2344.484379,2680.25,10.372,666.0823354
"295",0.536,1936.838168,2117.24572,2579.604,10.654,668.2470821
"296",1.312,1787.520842,2028.37276,2621.722,10.937,678.4112127
"297",1.325,3462.189608,3673.841526,2662.376,11.227,750.4383693
"298",1.053,1876.583808,2060.535727,2121.872,11.525,731.6402165
"299",0.629,3379.074046,3556.925964,2817.9,11.831,776.0244335
"300",0.453,3584.438134,4652.521905,1700.05,26.875,2468.554771
"301",0.169,3800.378501,4305.804966,1754.615,27.486,2468.306847
"302",0.231,3823.761939,4620.749035,1828.81,28.104,2436.925985
"303",0.677,3671.2923,4764.903818,1691.29,28.729,2421.680724
"304",-0.184,3606.983861,4446.455845,1589.62,29.36,2449.138011
"305",-0.023,3365.355293,4223.317465,1491.515,29.994,2471.406313
"306",0.018,3393.009402,4291.442869,1554.159,30.631,2561.298457
"307",0.581,3836.668351,4658.507484,1658.35,31.271,2643.642859
"308",0.359,3881.552399,4745.874929,1753.4,31.913,2695.628231
"309",-0.041,4319.741298,5036.206345,1981.1,32.558,2732.521806
"310",0.322,4676.997954,5488.315852,2123.883,33.203,2841.332752
"311",0.44,4230.841781,5347.545225,1948.972,33.85,2850.491259
"312",0.583,3969.46008,5541.794453,1781.467,34.497,2937.795049
"313",0.243,4214.865199,6459.478786,1790.054,35.146,2951.760859
"314",0.253,4237.435816,6281.824454,1841.389,35.798,3067.121318
"315",0.533,3954.624737,6398.113608,1677.948,36.453,3168.708184
"316",0.154,3920.164049,6620.209707,1580.247,37.113,3176.342925
"317",0.557,3764.464184,6810.820048,1472.109,37.775,3227.726517
"318",0.933,3380.616264,6396.141504,1308.764,38.439,3190.043756
"319",0.023,3890.033609,7114.005716,1462.148,39.103,3004.041646
"320",0.006,3836.685207,7273.121099,1436.869,39.764,3084.676478
"321",0.467,4053.253428,7463.459315,1450.194,40.423,3085.30218
"322",0.706,4067.717222,7604.074575,1365.137,41.078,3112.129694
"323",0.767,4532.489842,8215.201252,1477.93,41.732,3183.388883
"324",0.643,4757.704915,8480.505414,1527.588,42.386,3301.421725
"325",0.761,4250.772489,8970.084186,1384.282,43.041,3404.199161
"326",0.587,4211.443659,9413.532336,1386.78,43.697,3577.667679
"327",0.693,4352.407048,9101.083536,1438.003,44.352,3768.067428
"328",0.413,4478.901277,9724.66764,1465.758,45.006,3845.016085
"329",0.899,4634.951184,9920.587788,1562.68998,45.654,3853.042011
"330",1.049,3896.487164,9635.623767,1380.96423,46.295,3950.609066
"331",0.535,4009.358,9609.864603,1361.28765,46.927,4156.398614
"332",0.698,4095.059026,10058.99563,1372.2378,47.551,4274.665516
"333",0.263,261.0285171,349.4086466,113.409,1.798,1504.426063
"334",-0.194,273.1608122,328.90079,115.88,1.852,1717.907216
"335",-0.268,276.9245127,353.414137,115.38,1.907,2062.055652
"336",0.245,271.9071878,352.0303149,118.138,1.964,2119.418461
"337",0.158,278.409198,380.0972369,125.969,2.022,2202.236377
"338",-0.225,287.5694631,383.3732878,128.927,2.081,2114.428353
"339",0.013,285.0921517,378.8513958,130.699,2.141,1914.156765
"340",0.42,301.2561162,379.6481145,137.206,2.201,1865.502356
"341",0.227,312.5820534,426.0067825,141.059,2.262,1847.255944
"342",-0.338,295.6848589,378.848671,145.008,2.325,1843.92628
"343",0.016,281.8543564,407.7789731,126.28,2.389,1812.473855
"344",0.104,233.9229355,344.9955261,96.917,2.454,1806.731643
"345",-0.347,237.3007952,378.3385064,100.246,2.52,1805.367421
"346",0.011,254.6376393,360.599672,119.458,2.588,1740.709026
"347",0.307,284.9977266,414.4977162,118.605,2.659,1601.163735
"348",0.551,284.7102592,398.1507456,119.846,2.733,1619.893645
"349",0.022,302.9239083,472.6262689,119.272,2.81,1643.101856
"350",1.015,292.338645,483.2181088,116.677,2.973,1600.994567
"351",0.599,312.2123427,557.3750481,111.611,3.055,1517.79065
"352",0.384,314.5268911,555.1166434,113.411,3.136,1590.605012
"353",0.296,326.7652817,566.6639791,124.879,3.213,1611.520797
"354",0.71,330.6997743,575.7034721,127.834,3.289,1646.414453
"355",0.812,340.3566545,621.0068189,132.976,3.365,1622.316746
"356",0.75,361.4511931,641.7469019,139.568,3.446,1639.259578
"357",0.72,387.3731419,686.819553,148.511,3.533,1722.899146
"358",0.703,380.6164688,685.2051827,151.876,3.629,1781.920085
"359",0.745,442.4301989,752.4063791,156.693,3.731,1705.781871
"360",0.676,464.0602796,774.7353154,159.15,3.836,1751.539682
"361",0.695,456.5852579,783.9704653,165.554,3.941,1832.208355
"362",1.142,457.3354546,762.720662,173.522,4.043,1942.287123
"363",0.556,458.3196918,748.7048992,197.322,4.14,1961.66107
"364",0.522,476.2829123,787.6681197,200.227,4.233,1991.468309
"365",0.395,701.9265838,1089.163479,474.524,7.958,2605.594459
"366",0.013,810.4245987,1129.45511,506.077,8.179,2677.486989
"367",0.488,822.1534829,1193.123119,478.758,8.403,2622.136391
"368",1.001,615.355099,992.232099,411.776,8.63,2544.56397
"369",-0.17,848.0102013,1251.888201,506.507,8.859,2543.863441
"370",-0.118,875.7916962,1154.845099,493.707,9.091,2576.491204
"371",0.129,1068.785541,1347.101088,894.416,9.324,2599.145586
"372",0.99,1165.851754,1579.316051,935.987,9.558,2528.943538
"373",0.336,1249.119362,1815.315362,917.188,9.793,2613.649037
"374",-0.007,1276.051645,1746.299884,894.6,10.027,2578.32837
"375",0.511,1148.824116,1632.441763,880.72,10.261,2612.246663
"376",0.469,1197.289562,1640.913304,936.46,10.493,2664.111857
"377",0.789,1327.445523,1781.547437,1006.87,10.725,2661.591724
"378",0.492,1491.776428,1973.318657,1051.85,10.953,2657.613221
"379",0.366,1587.421801,2099.795879,1087.96,11.174,2715.980385
"380",0.724,1502.71975,2025.313436,1077.59,11.385,2725.689639
"381",0.045,1540.559492,2146.676049,1138.808,11.584,2725.256563
"382",1.069,1535.366058,2103.340939,1050.771,11.774,2797.320516
"383",1.243,1181.676942,1937.522776,835.603,11.96,2843.77128
"384",0.265,1445.84861,2183.926346,953.209,12.148,2667.070143
"385",0.286,1454.417014,2125.852859,924.16,12.345,2653.163798
"386",0.519,1232.200138,1865.925334,936.274,12.552,2714.193648
"387",0.813,1493.895436,2319.732124,925.801,12.767,2777.807741
"388",0.855,1523.397375,2386.144033,860.879,12.988,2804.890672
"389",0.827,1690.246816,2637.260516,976.41,13.209,2984.418836
"390",0.815,1779.62828,2796.753738,887.742,13.426,3091.545136
"391",0.792,1713.671699,2669.950305,883.532,13.64,3177.042556
"392",0.809,1830.969974,2912.587328,938.147,13.85,3197.395063
"393",0.665,1816.455889,2866.043903,838.527,14.057,3350.580377
"394",1.052,1903.387957,2956.281742,901.044,14.262,3321.127531
"395",1.112,2079.520217,3213.714001,869.2,14.465,3371.218327
"396",0.798,1912.92533,3167.119114,796.956,14.666,3585.51793
"397",0.734,2001.376888,3165.370673,867.28138,14.865,3718.75458
"398",-0.131,7638.101825,13670.77519,2054.997,44.952,646.9586751
"399",-0.3,7826.173631,15037.24264,2082.793,46.025,655.6096263
"400",-0.489,8049.660607,14860.98095,2099.363,47.134,703.6081315
"401",-1.215,8200.035406,16320.77679,2077.595,48.277,737.791694
"402",-0.331,8042.774954,16668.67198,2014.055,49.453,764.1208428
"403",0.152,8208.973447,17119.88374,1969.17,50.66,795.1609777
"404",0.031,8337.856424,16751.89258,1945.47,51.9,796.7046519
"405",-0.393,9112.337678,18468.68976,2016.82,53.166,797.3277345
"406",0.132,9554.071641,18120.16858,2036.369,54.434,820.0341621
"407",-0.294,10679.59366,19127.92374,2165.751,55.667,841.7428097
"408",-0.162,12464.86181,20099.48663,2370.315,56.843,871.3295297
"409",0.358,13270.92369,21333.91978,2566.822,57.952,863.8756549
